ticker,institutional_pct,insider_pct,short_pct,float_shares_m,num_inst_holders,insider_buys,insider_sells,insider_sentiment,institutional_score,institutional_stage
KMB,85.35,0.66,10.9,330.78,10,0,0,Neutral,55,Institutional Support
KMI,68.89,12.78,2.39,1938.66,10,0,0,Neutral,65,Institutional Support
KMX,104.8,0.44,13.52,140.96,10,0,0,Neutral,55,Institutional Support
KO,66.18,9.89,0.84,3872.78,10,0,0,Neutral,65,Institutional Support
KR,81.97,8.78,5.71,739.98,10,0,0,Neutral,65,Institutional Support
KVUE,98.78,0.04,3.97,1913.45,10,0,0,Neutral,65,Institutional Support
L,60.64,18.93,1.95,169.51,10,0,0,Neutral,65,Institutional Support
LDOS,80.63,0.55,2.17,126.91,10,0,0,Neutral,70,Strong Institutional Support
LEN,99.31,5.38,5.52,213.18,10,0,0,Neutral,65,Institutional Support
LH,98.68,0.33,4.76,82.52,10,0,0,Neutral,65,Institutional Support
LHX,89.38,0.34,2.14,186.19,10,0,0,Neutral,70,Strong Institutional Support
LIN,88.21,0.24,1.6,465.27,10,0,0,Neutral,70,Strong Institutional Support
LKQ,103.79,0.46,7.42,254.25,10,0,0,Neutral,65,Institutional Support
LLY,83.45,0.16,0.97,0.0,10,0,0,Neutral,70,Strong Institutional Support
LMT,75.36,0.08,1.33,195.52,10,0,0,Neutral,65,Institutional Support
LNT,89.01,0.23,8.71,256.34,10,0,0,Neutral,65,Institutional Support
LOW,80.1,0.11,1.9,559.8,10,0,0,Neutral,70,Strong Institutional Support
LRCX,88.67,0.28,2.79,1243.9,10,0,0,Neutral,70,Strong Institutional Support
LULU,77.67,4.61,5.5,107.78,10,0,0,Neutral,60,Institutional Support
LUV,97.69,1.18,4.96,458.79,10,0,0,Neutral,65,Institutional Support
LVS,42.4,57.25,4.12,321.06,10,0,0,Neutral,50,Neutral
LW,94.5,2.51,5.17,137.94,10,0,0,Neutral,65,Institutional Support
LYB,71.12,20.47,6.88,255.84,10,0,0,Neutral,60,Institutional Support
LYV,84.01,32.64,11.47,156.27,10,0,0,Neutral,55,Institutional Support
MA,91.36,0.52,0.81,886.11,10,0,0,Neutral,70,Strong Institutional Support
MAA,99.15,0.67,3.79,116.05,10,0,0,Neutral,65,Institutional Support
MAR,65.81,17.91,3.45,234.07,10,0,0,Neutral,60,Institutional Support
MAS,99.62,0.22,4.51,206.87,10,0,0,Neutral,65,Institutional Support
MCD,75.15,0.22,1.09,711.06,10,0,0,Neutral,65,Institutional Support
MCHP,98.19,2.11,5.69,528.91,10,0,0,Neutral,65,Institutional Support
MCK,91.44,0.03,1.65,123.26,10,0,0,Neutral,70,Strong Institutional Support
MCO,79.39,13.95,1.65,164.75,10,0,0,Neutral,65,Institutional Support
MDLZ,88.78,0.2,2.97,1285.4,10,0,0,Neutral,70,Strong Institutional Support
MDT,88.05,0.29,1.31,1279.68,10,0,0,Neutral,70,Strong Institutional Support
MET,77.83,16.43,1.82,550.32,10,0,0,Neutral,65,Institutional Support
META,79.27,0.06,1.49,2182.63,10,0,0,Neutral,65,Institutional Support
MGM,70.91,25.27,15.18,192.91,10,0,0,Neutral,50,Neutral
MHK,86.19,17.62,6.44,51.14,10,0,0,Neutral,65,Institutional Support
MKC,92.38,0.01,0.0,264.84,10,0,0,Neutral,70,Strong Institutional Support
MKTX,99.81,2.34,6.33,36.42,10,0,0,Neutral,65,Institutional Support
MLM,99.36,0.74,3.79,59.82,10,0,0,Neutral,65,Institutional Support
MMC,92.08,0.07,1.01,489.04,10,0,0,Neutral,70,Strong Institutional Support
MMM,75.27,0.1,1.41,529.48,10,0,0,Neutral,65,Institutional Support
MNST,70.55,28.59,2.63,696.87,10,0,0,Neutral,65,Institutional Support
MO,63.03,0.09,2.85,1673.78,10,0,0,Neutral,65,Institutional Support
MOH,111.02,1.37,7.88,47.93,10,0,0,Neutral,65,Institutional Support
MOS,97.26,0.47,5.57,315.72,10,0,0,Neutral,65,Institutional Support
MPC,77.02,0.28,3.37,294.17,10,0,0,Neutral,60,Institutional Support
MPWR,104.08,3.74,5.67,46.05,10,0,0,Neutral,65,Institutional Support
MRK,80.23,0.06,1.51,2477.88,10,0,0,Neutral,70,Strong Institutional Support
MRNA,71.17,7.41,21.86,364.15,10,0,0,Neutral,50,Neutral
MRO,0.0,0.0,0.0,0.0,0,0,0,Unknown,45,Neutral
MS,62.97,24.04,1.32,1201.58,10,0,0,Neutral,65,Institutional Support
MSCI,96.83,3.55,2.68,69.6,10,0,0,Neutral,70,Strong Institutional Support
MSFT,76.05,0.07,0.74,7414.71,10,0,0,Neutral,65,Institutional Support
MSI,88.65,0.43,1.71,165.82,10,0,0,Neutral,70,Strong Institutional Support
MTB,92.36,0.37,4.21,151.14,10,0,0,Neutral,65,Institutional Support
